Journal,缩写,ISSN,EISSN,Catalog,Publisher,CAS-zone,JCR-zone,2024-IF,5-year-IF,JIF Rank,
ISLE-Interdisciplinary Studies in Literature and Environment,ISLE-INTERDISCIP STU,1076-0962,1759-1090,文学,OXFORD UNIV PRESS INC,4,N/A,0.2,0.3,N/A,
Plainsong & Medieval Music,PLAINSONG MEDIEV MUS,0961-1371,1474-0087,艺术学,CAMBRIDGE UNIV PRESS,1,N/A,0.2,0.1,N/A,
Novoe Literaturnoe Obozrenie,NOV LIT OBOZR,0869-6365,N/A,文学,NOVOE LITERATURNOE OBOZRENIE-NEW LITERARY OBSERVER,4,N/A,0.2,0.2,N/A,
FRENCH HISTORICAL STUDIES,FR HIST STUD,0016-1071,1527-5493,历史学,DUKE UNIV PRESS,3,Q2,0.2,0.5,265/538,
Aramaic Studies,ARAMAIC STUD,1477-8351,1745-5227,哲学,BRILL,3,N/A,0.2,0.3,N/A,
MEANJIN,MEANJIN,0025-6293,1448-8094,文学,MEANJIN COMPANY LTD,4,N/A,0.2,0.1,N/A,
Modern Chinese Literature and Culture,MOD CHIN LIT CULT,1520-9857,2328-966X,文学,FOREIGN LANGUAGE PUBL,4,Q4,0.2,0.3,51/64,
VIVARIUM-AN INTERNATIONAL JOURNAL FOR THE PHILOSOPHY AND INTELLECTUAL LIFE OF THE MIDDLE AGES AND RENAISSANCE,VIVARIUM,0042-7543,N/A,哲学,BRILL,2,N/A,0.2,0.2,N/A,
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,INDIAN ECON SOC HIST,0019-4646,0973-0893,N/A,SAGE PUBLICATIONS INDIA PVT LTD,N/A,Q2,0.2,0.5,265/538,
Journal of International and Comparative Law,J INT COMP LAW,N/A,2313-3775,N/A,SWEET & MAXWELL,N/A,Q3,0.2,N/A,313/434,
Journal of Contemporary Drama in English,J CONTEMP DRAMA ENGL,2195-0156,2195-0164,艺术学,WALTER DE GRUYTER GMBH,3,N/A,0.2,0.2,N/A,
PARERGON,PARERGON,0313-6221,1832-8334,历史学,AUSTRALIAN NZ ASSOC MEDIEVAL EARLY MODERN STUDIES,4,N/A,0.2,0.2,N/A,
Al-Masaq-Journal of the Medieval Mediterranean,AL-MASAQ,0950-3110,1473-348X,历史学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2,N/A,0.2,0.3,N/A,
Journal of Screenwriting,J SCREENWRITING,1759-7137,1759-7145,艺术学,INTELLECT LTD,2,N/A,0.2,0.2,N/A,
Interdisciplinary Studies of Literature,INTERDISCIP STUD LIT,2520-4920,2616-4566,文学,KNOWLEDGE HUB PUBL CO LTD,4,N/A,0.2,0.1,N/A,
ASIAN MUSIC,ASIAN MUSIC,0044-9202,1553-5630,N/A,UNIV TEXAS PRESS,N/A,N/A,0.2,0.3,N/A,
GERMAN QUARTERLY,GER QUART,0016-8831,1756-1183,N/A,WILEY,N/A,N/A,0.2,0.2,N/A,
HISTORIA-ZEITSCHRIFT FUR ALTE GESCHICHTE,HISTORIA-Z ALTE GES,0018-2311,0018-2311,历史学,FRANZ STEINER VERLAG GMBH,2,Q2,0.2,0.3,265/538,
Trans-Form-Acao,TRANS-FORM-ACAO,0101-3173,1980-539X,哲学,UNESP-MARILIA,4,N/A,0.2,0.1,N/A,
Anuario de Estudios Medievales,ANU ESTUD MEDIEV,0066-5061,1988-4230,历史学,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,3,N/A,0.2,0.3,N/A,
CONFLUENCIA-REVISTA HISPANICA DE CULTURA Y LITERATURA,CONFLUENCIA,0888-6091,2328-6962,文学,COLORADO STATE UNIV,4,N/A,0.2,0.2,N/A,
Revolutionary Russia,REVOLUT RUSS,0954-6545,1743-7873,历史学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,Q2,0.2,0.2,265/538,
Southern African Humanities,SOUTH AFR HUMANIT,1681-5564,N/A,历史学,NATAL MUSEUM,3,N/A,0.2,0.5,N/A,
Drevnyaya Rus-Voprosy Medievistiki,DREVNYAYA RUS,2071-9574,2071-9574,历史学,INDRIK,3,N/A,0.2,0.2,N/A,
Alabe-Revista de Investigacion sobre Lectura y Escritura,ALABE,2171-9624,2171-9624,文学,UNIV ALMERIA,4,N/A,0.2,0.3,N/A,
BULLETIN OF THE INSTITUTE OF CLASSICAL STUDIES,B I CLASS STUD,0076-0730,2041-5370,历史学,OXFORD UNIV PRESS,4,N/A,0.2,0.4,N/A,
COLLEGE LITERATURE,COLL LITERATURE,0093-3139,1542-4286,文学,JOHNS HOPKINS UNIV PRESS,4,N/A,0.2,0.2,N/A,
Fascism,FASCISM,2211-6249,2211-6257,历史学,BRILL,2,N/A,0.2,0.6,N/A,
Histories,HISTORIES-BASEL,N/A,2409-9252,N/A,MDPI,N/A,Q2,0.2,0.2,265/538,
HARVARD JOURNAL OF ASIATIC STUDIES,HARVARD J ASIAT STUD,0073-0548,1944-6454,历史学,HARVARD-YENCHING INST,4,Q2,0.2,0.2,265/538,
Literatura-Teoria Historia Critica,LIT-TEOR HIST CRIT,0123-5931,2256-5450,文学,"UNIV NAC COLOMBIA, FAC CIENCIAS HUMANAS",4,N/A,0.2,0.2,N/A,
Studia Litterarum,STUD LITTERARUM-RUSS,2500-4247,2541-8564,文学,"RUSSIAN ACAD SCIENCES, A M GORKY INST WORLD LITERATURE (IWL RAS)",3,N/A,0.2,0.2,N/A,
Acta Orientalia Academiae Scientiarum Hungaricae,ACTA ORIENT ACAD SCI,1588-2667,0001-6446,N/A,AKADEMIAI KIADO ZRT,N/A,Q2,0.2,0.3,265/538,
French History,FR HIST,0269-1191,1477-4542,历史学,OXFORD UNIV PRESS,2,Q2,0.2,0.3,265/538,
Historia y Comunicacion Social,HIST COMUN SOC,1137-0734,1988-3056,历史学,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",4,Q2,0.2,0.4,265/538,
INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES,INT J AFR HIST STUD,0361-7882,2326-3016,历史学,AFRICAN STUDIES CENTER,3,Q2,0.2,0.3,265/538,
Metal Music Studies,METAL MUSIC STUD,2052-3998,2052-4005,艺术学,INTELLECT LTD,2,Q4,0.2,N/A,51/64,
Problemy Muzykalnoi Nauki-Music Scholarship,PROBL MUZYKALNOI NAU,2782-358X,2782-3598,艺术学,Gnesin Russian Acad Music,2,N/A,0.2,0.2,N/A,
WALLACE STEVENS JOURNAL,WALLACE STEVENS J,0148-7132,2160-0570,文学,JOHNS HOPKINS UNIV PRESS,4,N/A,0.2,0.1,N/A,
Monatshefte,MONATSHEFTE,0026-9271,1934-2810,文学,UNIV WISCONSIN PRESS,4,N/A,0.2,0.1,N/A,
Early China,EARLY CHINA,0362-5028,2325-2324,社会学,CAMBRIDGE UNIV PRESS,4,N/A,0.2,0.5,N/A,
War & Society,WAR SOC,0729-2473,2042-4345,历史学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q2,0.2,0.4,265/538,
Canadian Journal of Film Studies-Revue Canadienne d Etudes Cinematographiques,CAN J FILM STUD,0847-5911,2561-424X,N/A,UNIV TORONTO PRESS INC,N/A,N/A,0.2,0.4,N/A,
VSWG-Vierteljahrschrift fur Sozial-und Wirtschaftsgeschichte,VSWG-VIERTELJAHR SOZ,0340-8728,0340-8728,历史学,FRANZ STEINER VERLAG GMBH,4,Q2,0.2,0.3,265/538,
Australasian Drama Studies,AUSTRALAS DRAMA STUD,0810-4123,N/A,艺术学,AUSTRALASIAN ASSOC THEATRE DRAMA & PERFORMANCE STUDIES,4,N/A,0.2,0.2,N/A,
Childrens Literature Association Quarterly,CHILD LIT ASSOC Q,0885-0429,1553-1201,文学,JOHNS HOPKINS UNIV PRESS,4,N/A,0.2,0.3,N/A,
European Journal of Media Art and Photography,EUR J MED PHOTOGR,1339-4940,1339-4940,艺术学,UNIV SS CYRIL & METHODIUS TRNAVA,3,N/A,0.2,0.2,N/A,
Journal of British Cinema and Television,J BRIT CINE TELEV,1743-4521,1755-1714,艺术学,EDINBURGH UNIV PRESS,2,N/A,0.2,0.4,N/A,
Technoetic Arts,TECHNOETIC ARTS,1477-965X,1758-9533,社会学,INTELLECT LTD,4,N/A,0.2,0.3,N/A,
Espana Medieval,ESP MEDIEV,0214-3038,1988-2971,历史学,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",3,N/A,0.2,0.2,N/A,
Seoul Journal of Korean Studies,SEOUL J KOREAN STUD,1225-0201,2331-4826,社会学,KYUJANGGAK INST KOREAN STUD,4,Q4,0.2,0.3,147/182,
Vulcan,VULCAN,2213-459X,2213-4603,历史学,BRILL,4,Q2,0.2,0.3,265/538,
Zolotoordynskoe Obozrenie-Golden Horde Review,ZOLOTOORDYNSKOE OBOZ,2308-152X,2313-6197,历史学,"AKAD NAUK RESPUBLIKI TATARSTAN, INST ISTORII IMENI SHIGABUTDINA MARDZHANI",3,Q2,0.2,0.2,265/538,
Ben Jonson Journal,BEN JONSON J,1079-3453,1755-165X,文学,EDINBURGH UNIV PRESS,3,N/A,0.2,0.1,N/A,
HISTORY OF PHOTOGRAPHY,HIST PHOTOGR,0308-7298,2150-7295,艺术学,TAYLOR & FRANCIS LTD,2,N/A,0.2,0.4,N/A,
JOURNAL OF MUSICOLOGY,J MUSICOLOGY,0277-9269,N/A,艺术学,UNIV CALIFORNIA PRESS,2,N/A,0.2,0.6,N/A,
CINEJ Cinema Journal,CINEJ CINE J,2159-2411,2158-8724,艺术学,"UNIV PITTSBURGH, UNIV LIBRARY SYSTEM",3,N/A,0.2,0.3,N/A,
TWENTIETH CENTURY LITERATURE,TWENTIETH CENT LIT,0041-462X,2325-8101,文学,HOFSTRA UNIV PRESS,3,N/A,0.2,0.2,N/A,
Asian Review of World Histories,ASIAN REV WORLD HIS,2287-965X,2287-9811,历史学,BRILL,4,Q2,0.2,0.3,265/538,
Bamboo and Silk,BAMBOO SILK,2468-9238,2468-9246,社会学,BRILL,4,N/A,0.2,0.2,N/A,
CAMBRIAN MEDIEVAL CELTIC STUDIES,CAMBR MEDIEV CELT ST,1353-0089,1353-0089,N/A,"CMCS, DEPT WELSH",N/A,N/A,0.2,0.1,N/A,
Lectora-Revista de Dones i Textualitat,LECTORA,1136-5781,2013-9470,文学,"UNIV BARCELONA, SERVEI PUBLICACIONS",4,N/A,0.2,0.3,N/A,
NORTHERN HISTORY,NORTHERN HIST,0078-172X,1745-8706,历史学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,Q2,0.2,0.2,265/538,
ANALES CERVANTINOS,AN CERVANTINOS,0569-9878,1988-8325,文学,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,3,N/A,0.2,0.1,N/A,
RILCE-Revista de Filologia Hispanica,RILCE-REV FILOL HISP,0213-2370,2174-0917,文学,"UNIV NAVARRA, SERVICIO PUBLICACIONES",4,Q4,0.2,0.3,267/303,
Art Documentation,ART DOC,0730-7187,2161-9417,艺术学,UNIV CHICAGO PRESS,3,N/A,0.2,0.3,N/A,
Bioscope-South Asian Screen Studies,BIOSCOPE,0974-9276,0976-352X,文学,SAGE PUBLICATIONS INDIA PVT LTD,4,N/A,0.2,0.3,N/A,
CLCWEB-Comparative Literature and Culture,CLCWEB-COMP LIT CULT,1481-4374,1481-4374,文学,PURDUE UNIV PRESS,3,N/A,0.2,0.3,N/A,
Hebrew Bible and Ancient Israel,HEBR BIBLE ANC ISR,2192-2276,2192-2284,哲学,MOHR SIEBECK,3,N/A,0.2,0.3,N/A,
Memoria y Civilizacion-Anuario de Historia,MEM CIV,1139-0107,2254-6367,历史学,"UNIV NAVARRA, SERVICIO PUBLICACIONES",4,Q2,0.2,0.3,265/538,
Afghanistan,AFGHANISTAN-UK,2399-357X,2399-3588,社会学,EDINBURGH UNIV PRESS,4,N/A,0.2,0.5,N/A,
Irish Economic and Social History,IR ECON SOC HIST,0332-4893,2050-4918,历史学,SAGE PUBLICATIONS LTD,4,Q2,0.2,0.7,265/538,
Current Writing-Text and Reception in Southern Africa,CURR WRIT,1013-929X,2159-9130,文学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,N/A,0.2,0.2,N/A,
Musicologist,MUSICOLOGIST,2618-5652,2618-5652,艺术学,Trabzon Univ State Conservatory,2,N/A,0.2,N/A,N/A,
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,ACTA ANAL,0353-5150,1874-6349,文学,SPRINGER,3,N/A,0.2,0.5,N/A,
Bronte Studies,BRONTE STUD,1474-8932,1745-8226,文学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,N/A,0.2,0.2,N/A,
Parliamentary History,PARLIAM HIST,0264-2824,1750-0206,历史学,WILEY,4,Q2,0.2,0.3,265/538,
Epistemology & Philosophy of Science-Epistemologiya i Filosofiya Nauki,EPISTEMOL PHILOS SCI,1811-833X,2311-7133,哲学,RUSSIAN ACAD SCIENCES-INST PHILOSOPHY,4,N/A,0.2,0.2,N/A,
Jewish Studies Quarterly,JEW STUD Q,0944-5706,1868-6788,哲学,MOHR SIEBECK,3,N/A,0.2,0.4,N/A,
PHILOSOPHICAL FORUM,PHILOS FORUM,0031-806X,1467-9191,哲学,WILEY,3,N/A,0.2,0.3,N/A,
Comparatist,COMPARATIST,0195-7678,1559-0887,文学,UNIV NORTH CAROLINA PRESS,4,N/A,0.2,0.3,N/A,
GYMNASIUM,GYMNASIUM-GER,0342-5231,2567-6555,历史学,UNIVERSITATSVERLAG C WINTER HEIDELBERG GMBH,3,N/A,0.2,0.1,N/A,
Istoriya-Elektronnyi Nauchno-Obrazovatelnyi Zhurnal,ISTORIYA-ELEKTRON,2079-8784,2079-8784,历史学,STATE ACAD UNIV HUMANITIES,4,Q2,0.2,0.2,265/538,
Anuario de Estudios Americanos,ANU ESTUD AM,0210-5810,1988-4273,历史学,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,2,Q2,0.2,0.3,265/538,
Comparative Critical Studies,COMP CRIT STUD,1744-1854,1750-0109,文学,EDINBURGH UNIV PRESS,3,N/A,0.2,0.3,N/A,
Journal of Supreme Court History,J SUPREME COURT HIST,1059-4329,1540-5818,历史学,JOHNS HOPKINS UNIV PRESS,4,Q2,0.2,0.1,265/538,
Studia Theologica-Czech Republic,STUDIA THEOL-CZECH R,1212-8570,2570-9798,哲学,UNIV PALACKEHO OLOMOUCI,4,N/A,0.2,0.2,N/A,
International Journal for the Study of the Christian Church,INT J STUDY CHRIST C,1474-225X,1747-0234,哲学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,N/A,0.2,0.2,N/A,
International Journal of Islamic Architecture,INT J ISLAM ARCHIT,2045-5895,2045-5909,艺术学,INTELLECT LTD,4,N/A,0.2,0.2,N/A,
Japan Forum,JPN FORUM,0955-5803,1469-932X,社会学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q4,0.2,0.7,147/182,
Museum History Journal,MUS HIST J,1936-9816,1936-9824,历史学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q2,0.2,0.4,265/538,
COMPARATIVE DRAMA,COMP DRAMA,0010-4078,1936-1637,艺术学,WESTERN MICHIGAN UNIV,3,N/A,0.2,0.1,N/A,
Cuadernos de Historia Moderna,CUAD HIST MOD,0214-4018,1988-2475,历史学,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",4,Q2,0.2,0.2,265/538,
Hiperboreea,HIPERBOREEA,2688-8211,2284-5666,历史学,PENN STATE UNIV PRESS,4,Q2,0.2,0.2,265/538,
LEARNing Landscapes,LEARN LANDSC,1913-5688,1913-5688,教育学,LEARN,4,Q4,0.2,0.4,668/756,
Rivista di Matematica della Universita di Parma,RIV MAT UNIV PARMA,0035-6298,N/A,数学,UNIV STUDI PARMA,4,Q4,0.2,0.2,462/483,
Australian Journal of Administrative Law,AUST J ADM LAW,1320-7105,1320-7105,社会学,LAWBOOK CO LTD,3,Q3,0.2,0.3,313/434,
Ilha do Desterro-A Journal of English Language Literatures in English and Cultural Studies,ILHA DESTERRO,0101-4846,2175-8026,文学,"UNIV FEDERAL SANTA CATARINA, PROGRAMA POS-GRADUACAO & LETRAS-INGLES",4,N/A,0.2,0.2,N/A,
International Journal of Military History and Historiography,INT J MIL HIST HIS,2468-3299,2468-3302,历史学,BRILL,4,Q2,0.2,0.3,265/538,
Milli Folklor,MILLI FOLKLOR,1300-3984,2146-8087,社会学,GELENEKSEL YAYINCILIK LTD STL,4,N/A,0.2,0.2,N/A,
ANTIKE UND ABENDLAND,ANTIKE ABENDLAND,0003-5696,1613-0421,历史学,WALTER DE GRUYTER GMBH,4,N/A,0.2,0.1,N/A,
Arqueologia y Territorio Medieval,ARQUEOL TERRIT MEDIE,1134-3184,2386-5423,历史学,"UNIV JAEN, SERV PUBLICACIONES",4,N/A,0.2,0.3,N/A,
Pasado y Memoria-Revista de Historia Contemporanea,PASADO MEM,1579-3311,2386-4745,历史学,UNIV ALICANTE,4,Q2,0.2,0.3,265/538,
Journal of the Society for American Music,J SOC AM MUSIC,1752-1963,1752-1971,艺术学,CAMBRIDGE UNIV PRESS,3,N/A,0.2,0.4,N/A,
ZEITSCHRIFT FUR DIE ALTTESTAMENTLICHE WISSENSCHAFT,Z ALTTESTAMENT WISS,0044-2526,1613-0103,哲学,WALTER DE GRUYTER GMBH,3,N/A,0.2,0.2,N/A,
Aspasia,ASPASIA,1933-2882,1933-2890,历史学,BERGHAHN JOURNALS,4,Q2,0.2,0.4,265/538,
Ilahiyat Tetkikleri Dergisi-Journal of Ilahiyat Researches,ILAH TETKIKLERI DERG,2458-7508,2602-3946,哲学,ATATURK UNIV,4,N/A,0.2,0.2,N/A,
Journal of Comparative Germanic Linguistics,J COMP GER LINGUIST,1383-4924,1572-8552,文学,SPRINGER,2,Q4,0.2,0.5,267/303,
Music Sound and the Moving Image,MUSIC SOUND MOV IMAG,1753-0768,1753-0776,艺术学,LIVERPOOL UNIV PRESS,2,N/A,0.2,0.5,N/A,
TEMPO,TEMPO-UK,0040-2982,1478-2286,艺术学,CAMBRIDGE UNIV PRESS,3,N/A,0.2,0.2,N/A,
ARCHITECTURAL HISTORY,ARCHIT HIST,0066-622X,2059-5670,历史学,CAMBRIDGE UNIV PRESS,4,Q2,0.2,0.4,265/538,
Boletim do Arquivo da Universidade de Coimbra,BOL ARQ UNIV COIMBRA,0872-5632,2182-7974,历史学,"UNIV COIMBRA, ARQUIVO",4,Q2,0.2,0.2,265/538,
Grazer Philosophische Studien-International Journal for Analytic Philosophy,GRAZER PHILOS STUD,0165-9227,1875-6735,哲学,BRILL,4,N/A,0.2,0.5,N/A,
Journal of Applied Logics-IfCoLoG Journal of Logics and their Applications,J APPL LOG-IFCOLOG,2631-9810,2631-9829,数学,COLL PUBLICATIONS,4,Q4,0.2,0.4,25/27,
Choreographic Practices,CHOREOGRAPHIC PRACT,2040-5669,2040-5677,艺术学,INTELLECT LTD,3,N/A,0.2,0.1,N/A,
Holocaust-Studii si Cercetari,HOLOCAUST-BUCHAREST,2065-6602,2065-6602,历史学,INST NATL STUDIEREA HOLOCAUSTULUI ROMANIA ELIE WIESEL,4,Q2,0.2,0.2,265/538,
International Journal of Korean History,INT J KOREAN HIST,1598-2041,2508-5921,历史学,"KOREA UNIV, CENTER KOREAN HISTORY",4,Q2,0.2,0.3,265/538,
Journal for Eighteenth-Century Studies,J EIGHTEENTH-CENTURY,1754-0194,1754-0208,历史学,WILEY,3,N/A,0.2,0.3,N/A,
Journal of Italian Cinema and Media Studies,J ITAL CINE MEDIA ST,2047-7368,2047-7376,艺术学,INTELLECT LTD,2,N/A,0.2,0.3,N/A,
Journal of Scottish Philosophy,J SCOTT PHILOS,1479-6651,1755-2001,哲学,EDINBURGH UNIV PRESS,3,N/A,0.2,0.3,N/A,
Annales-Anali za Istrske in Mediteranske Studije-Series Historia et Sociologia,ANN-ANAL ISTRSKE MED,1408-5348,2591-1775,社会学,HISTORICAL SOC SOUTHERN PRIMORSKA KOPER-HSSP,4,N/A,0.2,0.2,N/A,
ESTUDIOS FILOLOGICOS,ESTUD FILOL-VALDIVIA,0071-1713,0717-6171,文学,UNIV AUSTRAL CHILE,4,Q4,0.2,0.1,267/303,
Filosofija-Sociologija,FILOS-SOCIOL,0235-7186,0235-7186,社会学,LITHUANIAN ACAD SCIENCES,4,Q4,0.2,0.2,201/219,
JOURNAL OF MILITARY HISTORY,J MILITARY HIST,0899-3718,1543-7795,历史学,SOC MILITARY HISTORY,4,Q2,0.2,0.1,265/538,
Journal of the History of Collections,J HIST COLLECT,0954-6650,1477-8564,艺术学,OXFORD UNIV PRESS,2,N/A,0.2,0.3,N/A,
Manuscrito,MANUSCRITO,0100-6045,2317-630X,哲学,"UNICAMP-UNIV ESTADUAL CAMPINAS, CTRO LOGICA EPISTEMOLOGIA HIST CIENCIA",4,N/A,0.2,0.2,N/A,
Teaching Philosophy,TEACH PHILOS,0145-5788,2153-6619,哲学,PHILOSOPHY DOCUMENTATION CENTER,4,N/A,0.2,0.3,N/A,
WELSH HISTORY REVIEW,WELSH HIST REV,0043-2431,0083-792X,历史学,UNIV WALES PRESS,4,Q2,0.2,0.1,265/538,
Deleuze and Guattari Studies,DELEUZE GUATTARI STU,2398-9777,2398-9785,哲学,EDINBURGH UNIV PRESS,3,N/A,0.2,0.4,N/A,
Ecclesiology,ECCLESIOLOGY,1744-1366,1745-5316,哲学,BRILL,2,N/A,0.2,0.2,N/A,
Luxury-History Culture Consumption,LUX-HIST CULT CONSUM,2051-1817,2051-1825,社会学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,N/A,0.2,0.2,N/A,
Studies in Chinese Religions,STUD CHINESE RELIG,2372-9988,2372-9996,哲学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,N/A,0.2,0.2,N/A,
THOMIST,THOMIST,0040-6325,N/A,哲学,THOMIST PRESS,3,N/A,0.2,0.3,N/A,
Boletin del Museo Chileno de Arte Precolombino,B MUS CHIL ARTE PREC,0716-1530,0718-6894,N/A,MUSEO CHILENO ARTE PRECOLOMBINO,N/A,N/A,0.2,0.4,N/A,
Historisk Tidskrift,HIST TIDSKR-SWEDEN,0345-469X,0345-469X,历史学,SVENSKA HISTORISKA FORENINGEN,4,Q2,0.2,0.2,265/538,
INTERNATIONAL REVIEW OF THE AESTHETICS AND SOCIOLOGY OF MUSIC,INT REV AESTHET SOC,0351-5796,0351-5796,艺术学,CROATIAN MUSICOLOGICAL SOC,4,N/A,0.2,0.2,N/A,
Medievalismo,MEDIEVALISMO,1131-8155,1989-8312,历史学,UNIV MURCIA,4,N/A,0.2,0.2,N/A,
MOYEN AGE,MOYEN AGE,0027-2841,1782-1436,历史学,LE MOYEN AGE BOECK & LARCIER S A,3,N/A,0.2,0.1,N/A,
Pennsylvania History-A Journal of Mid-Atlantic Studies,PA HIST,0031-4528,2153-2109,历史学,PENN STATE UNIV PRESS,4,Q2,0.2,0.2,265/538,
ZEITGESCHICHTE,ZEITGESCHICHTE,0256-5250,N/A,历史学,Brill Deutschland GmbH,3,Q2,0.2,0.2,265/538,
ZEITSCHRIFT FUR DEUTSCHE PHILOLOGIE,Z DEUT PHILOL,0044-2496,N/A,文学,ERICH SCHMIDT VERLAG,4,N/A,0.2,0.2,N/A,
BURLINGTON MAGAZINE,BURLINGTON MAG,0007-6287,2044-9925,艺术学,BURLINGTON MAG PUBL LTD,2,N/A,0.2,0.2,N/A,
Journal of American-East Asian Relations,J AM-EAST ASIAN RELA,1058-3947,1876-5610,历史学,BRILL,4,Q2,0.2,0.2,265/538,
Pluralist,PLURALIST,1930-7365,N/A,哲学,UNIV ILLINOIS PRESS,4,N/A,0.2,0.1,N/A,
Atlantis-Journal of the Spanish Association of Anglo-American Studies,ATLANTIS-SPAIN,0210-6124,1989-6840,文学,ASOC ESPANOLA ESTUDIOS ANGLO-NORTEAMERICANOS-AEDEAN,3,Q4,0.2,0.4,267/303,
China and Asia,CHINA ASIA,2589-4641,2589-465X,社会学,BRILL,4,Q2,0.2,0.1,265/538,
JOURNAL OF GLASS STUDIES,J GLASS STUD,0075-4250,N/A,艺术学,CORNING MUSEUM GLASS,4,N/A,0.2,0.1,N/A,
Journal of Visual Art Practice,J VIS ART PRACT,1470-2029,1758-9185,N/A,TAYLOR & FRANCIS LTD,N/A,N/A,0.2,N/A,N/A,
US Catholic Historian,US CATHOL HIST,0735-8318,1947-8224,哲学,CATHOLIC UNIV AMER PRESS,4,N/A,0.2,0.2,N/A,
Vinculos de Historia,VINCULOS HIST,2254-6901,2254-6901,历史学,"UNIV CASTILLA-MANCHA, DEPT HISTORIA",4,Q2,0.2,0.2,265/538,
WAR IN HISTORY,WAR HIST,0968-3445,1477-0385,历史学,SAGE PUBLICATIONS LTD,3,Q2,0.2,0.4,265/538,
Arizona Quarterly,ARIZ Q,0004-1610,1558-9595,文学,JOHNS HOPKINS UNIV PRESS,4,N/A,0.2,0.4,N/A,
Communication Law and Policy,COMMUN LAW POLICY,1081-1680,1532-6926,社会学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q3,0.2,0.3,313/434,
Early Christianity,EARLY CHRIST,1868-7032,1868-8020,哲学,MOHR SIEBECK,3,N/A,0.2,0.2,N/A,
Journal of Speculative Philosophy,J SPECUL PHILOS,0891-625X,1527-9383,哲学,PENN STATE UNIV PRESS,4,N/A,0.2,0.2,N/A,
Korean Journal of Medical History,KOR J MED HIST,1225-505X,N/A,哲学,KOREAN SOC HIST MED,4,Q4,0.2,0.2,92/112,
Turkish Historical Review,TURK HIST REV,1877-5454,1877-5462,历史学,BRILL,4,Q2,0.2,0.3,265/538,
COMPARATIVE AMERICAN STUDIES,COMP AM STUD,1477-5700,1741-2676,社会学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,N/A,0.2,0.2,N/A,
Empedocles-European Journal for the Philosophy of Communication,EMPEDOCLES,1757-1952,1757-1960,哲学,INTELLECT LTD,4,N/A,0.2,0.2,N/A,
Punk & Post-Punk,PUNK POST PUNK,2044-1983,2044-3706,N/A,INTELLECT LTD,N/A,Q4,0.2,N/A,51/64,
Revista Chilena de Estudios Medievales,REV CHIL ESTUD MEDIE,0719-2215,0719-689X,历史学,"UNIV GABRIELA MISTRAL, CENTRO ESTUDIOS MEDIEVALES",4,N/A,0.2,0.1,N/A,
AMERICAN CATHOLIC PHILOSOPHICAL QUARTERLY,AM CATH PHILOS QUART,1051-3558,2153-8441,哲学,AMER CATHOLIC PHILOSOPHICAL ASSOC,4,N/A,0.2,0.2,N/A,
Derrida Today,DERRIDA TODAY,1754-8500,1754-8519,哲学,EDINBURGH UNIV PRESS,3,N/A,0.2,0.4,N/A,
JOURNAL OF CHINESE PHILOSOPHY,J CHINESE PHILOS,0301-8121,1540-6253,哲学,BRILL,4,N/A,0.2,0.3,N/A,
JOURNAL OF DHARMA,J DHARMA,0253-7222,N/A,哲学,DHARMARAM COLLEGE,4,N/A,0.2,0.1,N/A,
Politics and Religion Journal,POLIT RELIG J,1820-6581,1820-659X,哲学,CENTER STUDY RELIGION & RELIGIOUS TOLERANCE,4,N/A,0.2,0.2,N/A,
Journal of Adaptation in Film & Performance,J ADAPT FILM PERFORM,1753-6421,1753-643X,艺术学,INTELLECT LTD,3,N/A,0.2,0.1,N/A,
Teaching Theology and Religion,TEACH THEOL RELIG,1368-4868,1467-9647,哲学,WILEY,4,Q4,0.2,0.4,668/756,
Dialog-A Journal of Theology,DIALOG-J THEOLOGY,0012-2033,1540-6385,哲学,WILEY,4,N/A,0.2,0.1,N/A,
